question,answer,id
"What is the short title, extent and commencement referred to in the Code of Criminal Procedure, 1973?",Section 1 of Chapter I PRELIMINARY,
"Which section of the Code of Criminal Procedure, 1973 refers to the short title, extent and commencement?",Section 1 of Chapter I PRELIMINARY,
"What does Section 2 of the Code of Criminal Procedure, 1973 define?",Definitions,
"What is defined in Section 2 of the Code of Criminal Procedure, 1973?",Definitions,
"What is the purpose of Section 3 in the Code of Criminal Procedure, 1973?",Construction of references,
"Which section of the Code of Criminal Procedure, 1973 is about 'Construction of References'?",Section 3,
"What is regulated under Section 4 in the Code of Criminal Procedure, 1973?",Trial of offences under the Indian Penal Code and other laws,
"Under which section in the Code of Criminal Procedure, 1973 is the trial of offences under the Indian Penal Code and other laws regulated?",Section 4,
"What is the subject of Section 5 in the Code of Criminal Procedure, 1973?",Saving,
"Which section of the Code of Criminal Procedure, 1973 is about 'Saving'?",Section 5,
"What does Chapter II of the Code of Criminal Procedure, 1973 cover?",CONSTITUTION OF CRIMINAL COURTS AND OFFICES,
"Which chapter of the Code of Criminal Procedure, 1973 covers the CONSTITUTION OF CRIMINAL COURTS AND OFFICES?",Chapter II,
"What does Section 6 of the Code of Criminal Procedure, 1973 classify?",Classes of Criminal Courts,
"What does the Code of Criminal Procedure, 1973, in Section 6, classify as Classes of Criminal Courts?",Section 6,
"What is discussed in Section 7 of the Code of Criminal Procedure, 1973?",Territorial divisions,
"Which section of the Code of Criminal Procedure, 1973 discusses territorial divisions?",Section 7,
"What is the focus of Section 8 in the Code of Criminal Procedure, 1973?",Metropolitan areas,
"Which section of the Code of Criminal Procedure, 1973 is focused on metropolitan areas?",Section 8,
"What does Section 9 in the Code of Criminal Procedure, 1973 relate to?",Court of Session,
"Which section in the Code of Criminal Procedure, 1973 relates to the Court of Session?",Section 9,
"What does Section 22 in the Code of Criminal Procedure, 1973 discuss?",Local Jurisdiction,
"Which section in the Code of Criminal Procedure, 1973 discusses Local Jurisdiction?",Section 22,
What is the topic of Chapter III in the text?,Power of Courts,
In which chapter of the text is the topic 'Power of Courts' discussed?,Chapter III,
What is Section 23 about?,Subordination of Executive Magistrates,
Which section is about the Subordination of Executive Magistrates?,Section 23,
What does Section 27 pertain to?,Jurisdiction in the case of juveniles,
Which section pertains to jurisdiction in the case of juveniles?,Section 27,
What is the content of Section 28?,Sentences which High Courts and Sessions Judges may pass,
Which section contains information about the sentences which High Courts and Sessions Judges may pass?,Section 28,
What is addressed in Section 30?,Sentence of imprisonment in default of fine,
Which section addresses the 'Sentence of imprisonment in default of fine'?,Section 30,
What is included in Section 35?,Powers of Judges and Magistrates exercisable by their successors-in-office,
In which section can you find information about the Powers of Judges and Magistrates exercisable by their successors-in-office?,Section 35,
What is the focus of Chapter IV?,Powers of Superior Officers of Police and Aid to the Magistrates and the Police,
Which chapter focuses on the Powers of Superior Officers of Police and Aid to the Magistrates and the Police?,Chapter IV,
What does Section 36 discuss?,Powers of superior officers of police,
Which section discusses the powers of superior officers of police?,Section 36,
What is the subject of Section 39?,Public to give information of certain offences,
Which section discusses 'Public to give information of certain offences'?,Section 39,
What is detailed in Chapter V?,"Chapter V details the arrest of persons. It includes when police may arrest without warrant, notice of appearance before police officer, procedure of arrest and duties of officer making arrest, control room at districts, right of arrested person to meet an advocate during interrogation, and more.",
What does Chapter V include about the arrest of persons?,"Chapter V details the arrest of persons. It includes when police may arrest without warrant, notice of appearance before police officer, procedure of arrest and duties of officer making arrest, control room at districts, right of arrested person to meet an advocate during interrogation, and more.",
What does section 41 detail?,Section 41 details when police may arrest without a warrant.,
Which section details when police may arrest without a warrant?,Section 41 details when police may arrest without a warrant.,
What is the content of section 41A?,Section 41A is about the notice of appearance before a police officer.,
Which section is about the notice of appearance before a police officer?,Section 41A is about the notice of appearance before a police officer.,
What is explained in section 41B?,Section 41B explains the procedure of arrest and duties of the officer making the arrest.,
What does Section 41B explain?,The procedure of arrest and duties of the officer making the arrest.,
What does section 41C discuss?,Section 41C discusses the control room at districts.,
Which section discusses the control room at districts?,Section 41C discusses the control room at districts.,
What is the right outlined in section 41D?,Section 41D outlines the right of an arrested person to meet an advocate of his choice during interrogation.,
